P00027739T0000|6 31|gamma glutamyltransferase
P07945937A0358|117 127|Egr1 genes
P07945937A0358|117 121|Egr1
P07948129A0297|21 58|chimeric long terminal repeat (chLTR)
P07948129A0297|88 137|chloramphenicol acetyl transferase (CAT) reporter
P07948129A0297|88 142|chloramphenicol acetyl transferase (CAT) reporter gene
P07948129A0297|88 128|chloramphenicol acetyl transferase (CAT)
P07948129A0297|123 137|(CAT) reporter
P07948129A0297|123 142|(CAT) reporter gene
P07948129A0297|222 258|neomycin phosphotransferase II (NEO)
P07948129A0297|222 263|neomycin phosphotransferase II (NEO) gene
P07948129A0297|253 263|(NEO) gene
P07948921A0051|61 78|stilbene synthase
P07949164A0799|34 41|kappa B
P07949164A0799|51 59|IL-6/CAT
P07949164A0799|51 55|IL-6
P07951410A1332|0 3|E1A
P07951410A1332|0 3|E1A
P07957106A0471|46 60|GST-POU fusion
P07957106A0471|46 53|GST-POU
P07957106A0471|46 68|GST-POU fusion protein
P07957106A0875|63 82|transactivator VP16
P07957106A0875|78 82|VP16
P07957106A0875|78 82|VP16
P07957632A0000|114 146|metabotropic glutamate receptors
P07958446A0000|4 63|hepatocyte nuclear factor-3 (HNF-3)/forkhead (fkh) proteins
P07958446A0000|4 54|hepatocyte nuclear factor-3 (HNF-3)/forkhead (fkh)
P07958446A0000|4 39|hepatocyte nuclear factor-3 (HNF-3)
P07958446A0000|4 48|hepatocyte nuclear factor-3 (HNF-3)/forkhead
P07958446A0000|32 63|(HNF-3)/forkhead (fkh) proteins
P07958446A0000|39 54|/forkhead (fkh)
P07958446A0000|39 63|/forkhead (fkh) proteins
P07958446A0000|40 54|forkhead (fkh)
P07958446A0000|40 48|forkhead
P07958446A0000|40 63|forkhead (fkh) proteins
P07958446A0000|49 63|(fkh) proteins
P07958446A0000|180 186|winged
P07958446A0000|180 192|winged helix
P07958911A0500|9 18|trithorax
P07958911A0500|77 86|fork head
P07958920A1157|32 36|SNM1
P07958920A1157|64 73|RNase MRP
P07958920A1157|167 174|RNase P
P07959011A0379a|47 62|rat class-I ADH
P07959011A0379a|51 62|class-I ADH
P07959011A0379a|51 67|class-I ADH gene
P07959011A0379a|59 62|ADH
P07959011A0379a|59 67|ADH gene
P07959011A0379b|47 62|rat class-I ADH
P07959011A0379b|51 67|class-I ADH gene
P07959011A0379b|51 62|class-I ADH
P07959011A0379b|59 62|ADH
P07959011A0379b|59 67|ADH gene
P07959734A0194|117 135|glycoprotein Gp135
P07959734A0194|130 135|Gp135
P07959760A0763|189 194|Fli-1
P07959760A0763|215 218|ets
P07959760A0763|348 361|D11S912 (CA)n
P07959760A0763|398 403|Fli-1
P07959952A1446|71 89|mast cell chymases
P07959952A1446|81 89|chymases
P07961957A1565|68 73|HF-1a
P07961957A1565|114 123|alpha-MHC
P07961957A1565|114 139|alpha-MHC gene EM element
P07961957A1565|114 131|alpha-MHC gene EM
P07961958T0000|4 27|kidney carboxylesterase
P07961958T0000|11 27|carboxylesterase
P07963540A0795|12 27|I-kappa B alpha
P07963540A0795|14 21|kappa B
P07963540A0795|14 21|kappa B
P07964458A0179|37 93|natural resistance-associated macrophage protein (Nramp)
P07964624A0491|4 8|P131
P07964624A0491|4 8|P131
P07966583A1268|134 144|Env/Mlvi-4
P07966583A1268|134 151|Env/Mlvi-4 fusion
P07966583A1268|134 159|Env/Mlvi-4 fusion protein
P07969116A0196|4 9|Nur77
P07969132A0268|32 41|tRNA(His)
P07969135A0913|26 35|Cln2 PEST
P07969135A0913|26 30|Cln2
P07969136A0273|132 142|NF-kappa B
P07969136A0273|157 174|kappa light-chain
P07969152A0721|11 32|carboxyl-terminal HSF
P07969152A0721|11 66|carboxyl-terminal HSF transcriptional activation domain
P07969152A0721|29 66|HSF transcriptional activation domain
P07969152A0721|291 317|S. cerevisiae hsp70 family
P07969152A0721|291 310|S. cerevisiae hsp70
P07969152A0721|305 310|hsp70
P07969181A0313|41 44|CKB
P07969181A0313|152 155|p53
P07969954T0000|51 69|serum IgM anti-GM1
P07969954T0000|57 80|IgM anti-GM1 antibodies
P07969954T0000|61 69|anti-GM1
P07969954T0000|61 80|anti-GM1 antibodies
P07972012A0956|169 193|ANP-receptor kinase-like
P07972012A0956|252 285|protein-serine phosphatase domain
P07977648A0880|18 22|TP53
P07980440A0138|91 96|PEPCK
P07980669A0373|6 16|plasma AVP
P07980669A0373|81 91|plasma NPY
P07981246A0112|34 55|pertussis toxin (IAP)
P07981246A0112|34 54|pertussis toxin (IAP
P07981246A0112|34 100|pertussis toxin (IAP)-sensitive GTP-binding protein(s) (G-protein)
P07981246A0112|66 100|GTP-binding protein(s) (G-protein)
P07982995A0000|51 102|platelet-derived growth factor (PDGF) beta-receptor
P07982995A0000|82 102|(PDGF) beta-receptor
P07983011A0617|210 243|fibroblast growth factor receptor
P07983011A0617|477 480|src
P07983011A0617|477 489|src homology
P07983011A0617|477 504|src homology 3 (SH3) domain
P07983011A0617|477 520|src homology 3 (SH3) domain binding regions
P07983011A0617|477 497|src homology 3 (SH3)
P07983011A0617|492 504|(SH3) domain
P07983715A0996|130 132|P4
P07983715A0996|257 281|luciferase reporter gene
P07983715A0996|257 276|luciferase reporter
P07983716A1082|162 180|Y88S and Y88L RNAs
P07984088A0592|80 102|virulence gene cluster
P07984088A0592|80 94|virulence gene
P07984105A1509|36 43|WA fyuA
P07984105A1509|39 50|fyuA mutant
P07984105A1509|39 43|fyuA
P07984105A1509|39 43|fyuA
P07988559A0836|24 35|RBP-J kappa
P07988730A0220|74 76|U5
P07988730A0220|111 150|chloramphenicol acetyltransferase (CAT)
P07988730A0220|243 275|viral transactivator tax protein
P07988730A0220|264 275|tax protein
P07988731A1301|82 85|GBF
P07988731A1301|82 93|GBF protein
P07990136A1124|58 64|polIII
P07990136A1124|203 219|mammalian polIII
P07990136A1124|213 237|polIII ternary complexes
P07990136A1124|213 219|polIII
P07991582A1023b|29 33|CEG1
P07994021A1223|74 81|PECAM-1
P07997174A0936|124 128|NifL
P07999066A0238|16 19|tat
P07999066A0238|92 96|IL-2
P07999066A0238|171 174|tat
P07999066A0238|259 315|IL-2 promoter-chloramphenicol acetyltransferase reporter
P07999066A0238|259 326|IL-2 promoter-chloramphenicol acetyltransferase reporter constructs
P07999066A0238|259 306|IL-2 promoter-chloramphenicol acetyltransferase
P07999066A0238|259 272|IL-2 promoter
P07999066A0238|273 315|chloramphenicol acetyltransferase reporter
P07999066A0238|273 326|chloramphenicol acetyltransferase reporter constructs
P07999363A0000|56 75|FGF receptor (FGFR)
P08001136T0000|42 76|RNA polymerase II CTD kinase TFIIH
P08001136T0000|42 82|RNA polymerase II CTD kinase TFIIH/TFIIK
P08001136T0000|42 70|RNA polymerase II CTD kinase
P08001136T0000|60 82|CTD kinase TFIIH/TFIIK
P08001136T0000|60 76|CTD kinase TFIIH
P08001136T0000|71 82|TFIIH/TFIIK
P08001792A0284|37 42|git10
P08003700T0000|155 159|atpA
P08005230A0222|89 94|c-fos
P08005230A0222|172 182|luciferase
P08005412A0608|19 24|white
P08005412A0608|129 141|engrailed PS
P08005412A0608|129 138|engrailed
P08005438A1185|115 119|srn1
P08007975A0000|4 8|IPL1
P08013348A0143|0 24|Mammalian ABPs and SHBGs
P08013348A0143|10 14|ABPs
P08013457A0342|0 24|Src homology (SH) domain
P08013457A0342|0 17|Src homology (SH)
P08013457A0342|13 24|(SH) domain
P08020702A0137|40 47|lipid A
P08020962A1226|29 35|V beta
P08021175A0486|4 8|pexB
P08021175A0486|106 125|cyclic AMP receptor
P08021177A0000|4 13|fepA-entD
P08021177A0000|18 34|fes-entF operons
P08021177A0000|18 26|fes-entF
P08021177A0000|22 34|entF operons
P08021177A0000|172 185|Fur repressor
P08021177A0000|172 175|Fur
P08021225A0000|23 78|6.3-kbp genomic EcoRI-fragment of Alcaligenes eutrophus
P08021225A0000|23 44|6.3-kbp genomic EcoRI
P08021225A0000|23 53|6.3-kbp genomic EcoRI-fragment
P08021225A0000|31 53|genomic EcoRI-fragment
P08021225A0000|31 78|genomic EcoRI-fragment of Alcaligenes eutrophus
P08021225A0000|39 53|EcoRI-fragment
P08021225A0000|39 78|EcoRI-fragment of Alcaligenes eutrophus
P08028671A0687|41 49|anti-CBP
P08029334T0000|18 54|plant omega-3 fatty acid desaturases
P08029334T0000|24 54|omega-3 fatty acid desaturases
P08030239A0833|46 48|IE
P08030239A0833|46 48|IE
P08030239A0833|195 203|EHV-1 tk
P08030239A0833|201 203|tk
P08030239A0833|201 212|tk promoter
P08030239A0833|259 267|EHV-1 IE
P08030239A0833|265 276|IE promoter
P08030239A0833|265 267|IE
P08030243A1011|15 19|NS35
P08034318A0724|155 166|NF-1 family
P08034318A0724|155 159|NF-1
P08034682T0000|21 68|truncated inositol 1,4,5-trisphosphate receptor
P08034682T0000|31 77|inositol 1,4,5-trisphosphate receptor subunits
P08034682T0000|31 68|inositol 1,4,5-trisphosphate receptor
P08034741A0000|53 76|myr 4 (myosin from rat)
P08034741A0000|98 106|myosin I
P08034741A0000|98 106|myosin I
P08035498A0833|114 134|AAV promoter regions
P08035505A0586|18 25|NS3'-5B
P08035505A0586|18 37|NS3'-5B polyprotein
P08035796A0890|79 95|casein kinase II
P08037338A0000|37 68|erythropoietin (EPO) production
P08037338A0000|37 57|erythropoietin (EPO)
P08039422A0000|4 40|nerve growth factor beta gene (NGFB)
P08039422A0000|4 28|nerve growth factor beta
P08040336A0435|34 52|collagen element I
P08040336A0435|34 42|collagen
P08040336A0435|34 50|collagen element
P08040336A0435|128 135|albumin
P08041362T0000|23 40|cysteine synthase
P08043523A0000|52 92|nicotinic acetylcholine receptor (nAChR)
P08044794A0000|25 51|transcriptional factor p53
P08044802A0462|131 134|p53
P08044802A0462|131 134|p53
P08045431A0894|46 61|rubredoxin-like
P08045431A0894|46 56|rubredoxin
P08049444A0351|126 168|special A-T-rich binding protein 1 (SATB1)
P08051059A1000|29 33|rhlA
P08051059A1000|117 121|RhlR
P08051102A0532|32 62|myosin light chain phosphatase
P08055939A0159|74 76|H1
P08055939A0159|74 76|H1
P08055941A1264|105 127|native alpha 3 beta 60
P08055941A1264|112 134|alpha 3 beta 60 enzyme
P08055941A1264|112 127|alpha 3 beta 60
P08057356A1824|73 77|NarL
P08057421A1583|102 106|CBF1
P08057421A1583|102 106|CBF1
P08057421A1583|171 175|CD23
P08057421A1583|193 202|EBV LMP-1
P08057421A1583|193 211|EBV LMP-1 promoter
P08057421A1583|197 211|LMP-1 promoter
P08057421A1583|197 202|LMP-1
P08057421A1583|197 217|LMP-1 promoter sites
P08057421A1583|230 232|Cp
P08057833A0573|8 12|ParA
P08062833A0000|69 81|mouse desmin
P08062833A0000|75 86|desmin gene
P08062833A0000|75 81|desmin
P08063108A0109|4 8|acfD
P08063766A0595|57 64|lamin B
P08063766A0595|57 64|lamin B
P08063775T0000|14 57|parathyroid hormone-related protein (PTHrP)
P08063775T0000|14 62|parathyroid hormone-related protein (PTHrP) gene
P08063775T0000|50 62|(PTHrP) gene
P08063791A1370|137 140|Ras
P08065331A0279|115 118|HLF
P08065331A0279|123 139|chimeric E2A-HLF
P08065331A0279|132 139|E2A-HLF
P08065331A0279|132 148|E2A-HLF proteins
P08065365A0000|11 53|U2 small nuclear ribonucleoprotein (snRNP)
P08065365A0000|11 13|U2
P08065901A0997|30 34|KRAB
P08065901A0997|182 188|KRAB-A
P08067013T0001|31 64|creatine phosphokinase antibodies
P08067607A0568|49 52|CRP
P08070654A0574|52 62|calmodulin
P08070654A0574|52 67|calmodulin-like
P08070654A0574|108 126|caltractin/centrin
P08072547A0690|9 48|ultra-violet-responsive protein kinases
P08072547A1009|39 72|JNK phosphorylation site of c-Jun
P08072547T0000|45 50|H-Ras
P08076631A0000|15 40|transcription factor AP-1
P08076631A0000|36 40|AP-1
P08076631A0000|45 69|vitamin D receptor (VDR)
P08076631A0000|77 133|composite AP-1 plus vitamin-D-responsive promoter region
P08076631A0000|77 126|composite AP-1 plus vitamin-D-responsive promoter
P08076631A0000|77 147|composite AP-1 plus vitamin-D-responsive promoter region (AP-1 + VDRE)
P08076631A0000|87 133|AP-1 plus vitamin-D-responsive promoter region
P08076631A0000|87 147|AP-1 plus vitamin-D-responsive promoter region (AP-1 + VDRE)
P08076631A0000|155 172|human osteocalcin
P08076631A0000|161 177|osteocalcin gene
P08076631A0000|161 172|osteocalcin
P08076937A0851|161 166|Tru9I
P08077236A0243|0 24|Wild type and mutant Epo
P08077236A0243|14 24|mutant Epo
P08077236A0243|14 30|mutant Epo cDNAs
P08077236A0243|21 30|Epo cDNAs
P08077236A0243|21 24|Epo
P08078473A1107|14 19|ME31B
P08082440A0339a|14 20|LH/FSH
P08083220A0988|93 98|c-fos
P08083220A0988|195 220|serum response factor-DNA
P08083220A0988|195 216|serum response factor
P08083999A0501|47 75|HPV-16 and BPV-1 E2 proteins
P08083999A0501|58 75|BPV-1 E2 proteins
P08083999A0501|64 66|E2
P08083999A0501|64 75|E2 proteins
P08083999A0501|64 66|E2
P08084339A0907|98 110|J alpha 11-2
P08084339A0907|171 182|TCR C alpha
P08086450A0467|74 79|hATP1
P08086453T0000|63 73|human APEX
P08086453T0000|69 78|APEX gene
P08086453T0000|69 73|APEX
P08087887A1067|4 17|polyubiquitin
P08088513A0419|103 107|DEAH
P08088513A0419|103 121|DEAH protein Prp16
P08088513A0419|108 121|protein Prp16
P08088513A0419|138 140|U2
P08088777A0754|72 162|D2Mit1-(Dbh,Notch1)-(Col5a1,Rxra)-Spna2-Ab l-(Ak1,Fpgs)- (Grp78,Pbx3)-(Epb7.2,Hc,Gsn)-Acra
P08088777A0754|72 78|D2Mit1
P08088818A1053|164 169|RAD52
P08089184A0825|49 53|dagA
P08090746A1288|176 178|E4
P08090767A0000|25 45|DNA polymerase delta
P08091655A0000|68 75|EcoRI-B
P08091665T0000|98 110|TNF receptor
P08091669A0828|84 106|p35 open reading frame
P08091669A0828|143 146|ie1
P08093450A0688|20 25|NRF-1
P08093450A0688|39 43|ALAS
P08093450A0688|164 169|NRF-1
P08093616A1214|87 107|DNA polymerase alpha
P08093642A0600|86 89|RET
P08093642A0600|208 214|D10S94
P08097732A0000|25 49|ectoderm-specific Spec2a
P08097732A0000|43 49|Spec2a
P08097732A0000|43 54|Spec2a gene
P08097732A0000|203 214|Spec1/Spec2
P08097732A0000|203 220|Spec1/Spec2 genes
P08097732A0000|209 220|Spec2 genes
P08099443A0359|50 61|eIF-2 alpha
P08099443A0359|115 119|GCN2
P08100843A0134|103 108|mCD22
P08100843A0134|136 161|Cd22 locus encoding mCD22
P08100843A0134|136 140|Cd22
P08100843A0134|156 161|mCD22
P08101134A0376|22 33|plasma ACTH
P08101171A0924|43 51|Pc group
P08101171A0924|43 45|Pc
P08101839A0000|51 61|human mdr1
P08101839A0000|57 66|mdr1 gene
P08101839A0000|57 61|mdr1
P08101839A0000|57 61|mdr1
P08101843A0151|4 34|tyrosine hydroxylase gene (TH)
P08103379A0577|54 58|MADS
P08103935T0000|34 37|SRF
P08103935T0000|34 47|SRF accessory
P08104189A1168|158 178|vacuolar-type ATPase
P08104189A1168|172 178|ATPase
P08105994T0000|38 70|serum gamma-glutamyl transferase
P08106087A0139|33 44|27 kDa zein
P08106087A0139|40 44|zein
P08106087A0139|40 49|zein gene
P08106313A1492|129 133|HrpL
P08106325A0000|82 85|tox
P08106325A0000|161 177|diphtheria toxin
P08106325A0000|172 182|toxin gene
P08106325A0000|172 177|toxin
P08106369A0000|0 17|Vasopressin (AVP)
P08106512A0522|126 167|interferons (interferon-alpha and -gamma)
P08107167A0222|43 58|anti-B. parkeri
P08108343A0000|65 69|GnRH
P08108343A0000|296 308|gonadotropin
P08111035A0098|73 89|B. napus oleosin
P08111035A0098|73 94|B. napus oleosin gene
P08111035A0098|82 89|oleosin
P08111035A0098|124 148|beta-glucuronidase (GUS)
P08111035A0098|203 210|oleosin
P08111035A0098|203 246|oleosin promoter-GUS transcriptional fusion
P08111035A0098|203 223|oleosin promoter-GUS
P08111974A1034|74 81|tubulin
P08112601T0000|55 80|lipocalin tear prealbumin
P08112601T0000|70 80|prealbumin
P08113736A0309|30 35|RNA-1
P08113736A0309|30 35|RNA-1
P08114702A0000|15 96|myocyte-specific enhancer-binding factor 2 (MEF2) family of transcription factors
P08114702A0000|15 64|myocyte-specific enhancer-binding factor 2 (MEF2)
P08114702A0000|15 71|myocyte-specific enhancer-binding factor 2 (MEF2) family
P08114702A0000|58 71|(MEF2) family
P08114702A0000|58 96|(MEF2) family of transcription factors
P08118044A0318|0 6|GATA-1
P08119149A0000|0 39|Tumor necrosis factor-alpha (TNF alpha)
P08119907A0000|33 48|cellular p21ras
P08119907A0000|42 56|p21ras protein
P08119907A0000|42 48|p21ras
P08119907A0000|72 108|insulin-like growth factor-I (IGF-I)
P08119958A0273|16 25|C2 domain
P08119958A0273|50 54|PKCs
P08119958A0273|50 54|PKCs
P08119995A0814|43 50|T3R-RXR
P08120019A1500|15 18|Hm1
P08120029A0864|124 126|R2
P08122364A0954|25 30|pCD41
P08122364A0954|25 30|pCD41
P08123787A0554|40 59|cyanobacterial HemB
P08123787A0554|55 67|HemB protein
P08123787A0554|55 59|HemB
P08125258A0142|56 60|CHOP
P08125319A1085|4 8|ipiO
P08125949A1162|49 60|spinach L12
P08125949A1162|49 65|spinach L12 mRNA
P08125949A1162|57 60|L12
P08125949A1162|120 125|rpl12
P08125949A1162|213 216|L12
P08126096A0478|70 77|alpha 7
P08127950A0000|212 245|thyroid stimulating hormone (TSH)
P08132541A0000|34 59|T-cell-specific human MAL
P08132541A0000|50 59|human MAL
P08132541A0000|50 64|human MAL gene
P08132541A0000|56 59|MAL
P08132541A0000|56 64|MAL gene
P08132574A0831|39 52|complement C2
P08132574A0831|123 140|cytochrome CYP1A1
P08132574A0831|134 145|CYP1A1 gene
P08132574A0831|134 140|CYP1A1
P08134108A0277|14 39|skeletal alpha-actin gene
P08134108A0277|14 34|skeletal alpha-actin
P08134108A0277|23 39|alpha-actin gene
P08134108A0277|23 34|alpha-actin
P08134108A0277|23 49|alpha-actin gene promoters
P08134108A0277|58 61|YY1
P08134115A1161|101 125|TCTTAT (plus myc(H-P)21)
P08134115A1161|109 124|plus myc(H-P)21
P08134115A1161|109 117|plus myc
P08134115A1161|114 124|myc(H-P)21
P08134115A1161|130 159|ACT-ATT (in minus myc(H-P)21)
P08134115A1161|142 158|minus myc(H-P)21
P08134115A1161|142 151|minus myc
P08134115A1161|148 158|myc(H-P)21
P08138180A0593|106 111|SPT10
P08139001A1235|64 75|NS1 protein
P08139001A1235|64 67|NS1
P08139017A1465|133 143|Ets-1 cDNA
P08139017A1465|133 138|Ets-1
P08139017A1465|231 236|Tpl-1
P08139542T0000|53 57|CPA1
P08139543A0427|43 52|SLK1-SLT2
P08139577T0000|24 55|yeast transcription factor IIIB
P08139914A0554|36 53|dnHLH protein Id1
P08139914A0554|36 41|dnHLH
P08139914A0554|42 53|protein Id1
P08144037A0000|0 16|Thioredoxin (TR)
P08144037A0000|39 56|dithiol-reductase
P08144470A0711|24 31|asgB480
P08144572A0786|121 130|Ssa Hsp70
P08144572A0786|121 139|Ssa Hsp70 proteins
P08144572A0786|125 130|Hsp70
P08144615A0533|79 121|TCD (NF-IL6 bZIP domains (NFBD) (272-345))
P08144615A0533|79 110|TCD (NF-IL6 bZIP domains (NFBD)
P08144615A0533|83 121|(NF-IL6 bZIP domains (NFBD) (272-345))
P08144615A0533|83 120|(NF-IL6 bZIP domains (NFBD) (272-345)
P08144615A0533|84 90|NF-IL6
P08144615A0533|84 110|NF-IL6 bZIP domains (NFBD)
P08144615A0533|84 95|NF-IL6 bZIP
P08144615A0533|84 120|NF-IL6 bZIP domains (NFBD) (272-345)
P08144615A0533|104 120|(NFBD) (272-345)
P08144615A0533|105 109|NFBD
P08144631A0000|81 101|Src homology 2 (SH2)
P08144631A0000|81 109|Src homology 2 (SH2) domains
P08144631A0000|96 109|(SH2) domains
P08144852A0000|73 90|vasopressin (AVP)
P08144852A0000|96 132|corticotropin releasing factor (CRF)
P08145646T0000|135 157|nifU2-rpoN superoperon
P08145646T0000|135 145|nifU2-rpoN
P08145646T0000|141 157|rpoN superoperon
P08148463A0000|4 37|colony-stimulating factors (CSFs)
P08149484A0151|45 71|kinase domain of PKC alpha
P08149484A1551|33 62|PKC alpha (calcium dependent)
P08149484A1551|67 98|PKC delta (calcium independent)
P08149484A1551|178 192|AP-1 sequences
P08151787T0000|113 174|IE175 nuclear transactivator proteins of herpes simplex virus
P08151787T0000|113 150|IE175 nuclear transactivator proteins
P08152800A0357|10 13|ETS
P08152800A0357|186 224|'Ets Related Molecule PEA3-like' (ERM)
P08152800A0709|38 53|full-length ERM
P08152800A0709|50 61|ERM protein
P08152800A0709|50 53|ERM
P08152800A0709|186 198|Ets proteins
P08157009A0264|87 125|Golgi-localized mammalian AP-1 complex
P08157009A0264|87 117|Golgi-localized mammalian AP-1
P08157009A0264|103 117|mammalian AP-1
P08157009A0264|103 125|mammalian AP-1 complex
P08157009A0264|113 117|AP-1
P08157009A0264|167 201|plasma membrane AP-2 sigma subunit
P08157009A0264|167 187|plasma membrane AP-2
P08157009A0264|183 201|AP-2 sigma subunit
P08157009A0264|183 187|AP-2
P08157009T0000|4 33|Saccharomyces cerevisiae APS1
P08157009T0000|29 33|APS1
P08157009T0000|29 38|APS1 gene
P08157009T0000|85 108|mammalian clathrin AP-1
P08157009T0000|95 103|clathrin
P08157009T0000|95 116|clathrin AP-1 complex
P08157009T0000|95 108|clathrin AP-1
P08157009T0000|104 108|AP-1
P08157009T0000|159 167|clathrin
P08157674T0000|32 39|valosin
P08160905A0217|40 75|hepatitis B surface antigen (HBsAg)
P08163183T0000|4 41|xylose isomerase-encoding gene (xylA)
P08163183T0000|4 78|xylose isomerase-encoding gene (xylA) of Clostridium thermosaccharolyticum
P08163183T0000|4 20|xylose isomerase
P08163183T0000|35 78|(xylA) of Clostridium thermosaccharolyticum
P08163183T0000|117 121|XylA
P08163528T0000|0 20|Mitochondrial Mas70p
P08163528T0000|14 20|Mas70p
P08163528T0000|14 43|Mas70p signal anchor sequence
P08164661A0414|14 20|TFIIIC
P08164661A0414|57 69|yeast TFIIIC
P08164661A0414|63 78|TFIIIC subunits
P08164661A0414|63 69|TFIIIC
P08164661A0414|158 176|RNA polymerase III
P08164679A0809|52 71|128-amino-acid runt
P08164679A0809|52 80|128-amino-acid runt homology
P08164679A0809|67 87|runt homology region
P08164679A0809|67 71|runt
P08164679A0809|108 112|Runt
